seed,regime,round,placement,mean_gap,open_capacity
1007,R0,2,0.3583333333333333,0.5142841310820226,17
1007,R0,3,0.4166666666666667,0.5137005703475076,10
1007,R0,4,0.4583333333333333,0.5132641601015013,5
1007,R0,5,0.4666666666666667,0.5128258387991039,4
1007,R0,6,0.475,0.5121523896946438,3
1007,R1,1,0.175,0.5146758239432689,39
1007,R1,2,0.275,0.5140116706616822,27
1007,R1,3,0.35,0.5135171904109654,18
1007,R1,4,0.3916666666666666,0.5126851251439916,13
1007,R1,5,0.4166666666666667,0.5119158118618113,10
1007,R1,6,0.4166666666666667,0.511364534584123,10
1007,R2,1,0.175,0.5182016095431731,39
1007,R2,2,0.325,0.5169484861991968,21
1007,R2,3,0.3666666666666666,0.5176429122269769,16
1007,R2,4,0.4,0.5197550873038302,12
1007,R2,5,0.4333333333333333,0.517906912542202,8
1007,R2,6,0.4416666666666666,0.5168167158705885,7
1007,R3,1,0.175,0.5122636581962203,39
1007,R3,2,0.2833333333333333,0.5092864127400163,26
1007,R3,3,0.3333333333333333,0.5074662142830617,20
1007,R3,4,0.375,0.5056675134320666,15
1007,R3,5,0.4083333333333333,0.5010777347462211,11
1007,R3,6,0.4083333333333333,0.498569643742937,11
1008,R0,1,0.2166666666666666,0.5195348975086671,34
1008,R0,2,0.375,0.5189262425554956,15
1008,R0,3,0.4416666666666666,0.5185374004651895,7
1008,R0,4,0.45,0.5181752923018135,6
1008,R0,5,0.4583333333333333,0.5178088265335772,5
1008,R0,6,0.4583333333333333,0.517168342315748,5
1008,R1,1,0.1833333333333333,0.5196155031328582,38
1008,R1,2,0.3,0.5190016831349219,24
1008,R1,3,0.3333333333333333,0.5185445318705574,20
1008,R1,4,0.375,0.5179166262647554,15
1008,R1,5,0.3916666666666666,0.5174293234116853,13
1008,R1,6,0.4166666666666667,0.5170458903996674,10
1008,R2,1,0.1583333333333333,0.5188045243394671,41
1008,R2,2,0.3,0.5178086170779422,24
1008,R2,3,0.35,0.513559305930745,18
1008,R2,4,0.3833333333333333,0.5136528843002441,14
1008,R2,5,0.4,0.5090825554651606,12
1008,R2,6,0.4166666666666667,0.5054348078150414,10
1008,R3,1,0.1916666666666666,0.5154209374643663,37
1008,R3,2,0.3166666666666666,0.5151809639778748,22
1008,R3,3,0.3416666666666667,0.5106406434945618,19
1008,R3,4,0.3833333333333333,0.5112071666866511,14
1008,R3,5,0.4,0.5092362883224791,12
1008,R3,6,0.425,0.5089059849912632,9
1009,R0,1,0.2166666666666666,0.514527545111476,34
1009,R0,2,0.3833333333333333,0.5141283151803694,14
1009,R0,3,0.4166666666666667,0.5133348490414159,10
1009,R0,4,0.45,0.5128257211247864,6
1009,R0,5,0.4666666666666667,0.5123597566165784,4
1009,R0,6,0.4666666666666667,0.5120434559433424,4
1009,R1,1,0.2083333333333333,0.5142569535845536,35
1009,R1,2,0.35,0.5136161839683901,18
1009,R1,3,0.4083333333333333,0.513159705127476,11
1009,R1,4,0.4416666666666666,0.5126686433852974,7
1009,R1,5,0.4583333333333333,0.5122918013142108,5
1009,R1,6,0.4666666666666667,0.511774673389851,4
1009,R2,1,0.1583333333333333,0.5129579746234085,41
1009,R2,2,0.3,0.5154753864223999,24
1009,R2,3,0.3583333333333333,0.5131120292013309,17
1009,R2,4,0.4166666666666667,0.5109305924598966,10
1009,R2,5,0.4416666666666666,0.5096552946783158,7
1009,R2,6,0.4666666666666667,0.5097740321111706,4
1009,R3,1,0.1583333333333333,0.5064348343307105,41
1009,R3,2,0.3,0.5091870558195354,24
1009,R3,3,0.375,0.5042747311298743,15
1009,R3,4,0.4083333333333333,0.5020989831527493,11
1009,R3,5,0.4166666666666667,0.50918252974546,10
1009,R3,6,0.45,0.5076047100967767,6
1010,R0,1,0.1916666666666666,0.5470089367635905,37
1010,R0,2,0.35,0.5465888882933638,18
1010,R0,3,0.4166666666666667,0.5458702382145487,10
1010,R0,4,0.4333333333333333,0.5453909464359777,8
1010,R0,5,0.45,0.5447286993177417,6
1010,R0,6,0.45,0.5441862349238649,6
1010,R1,1,0.1583333333333333,0.5464872173539229,41
1010,R1,2,0.2916666666666667,0.546005100969974,25
1010,R1,3,0.3333333333333333,0.5454648872127295,20
1010,R1,4,0.3583333333333333,0.5450395412151722,17
1010,R1,5,0.4083333333333333,0.5443964160353031,11
1010,R1,6,0.4166666666666667,0.5439620467396696,10
1010,R2,1,0.15,0.5445634192553714,42
1010,R2,2,0.2666666666666666,0.5428790348571013,28
1010,R2,3,0.325,0.5420199579767239,21
1010,R2,4,0.375,0.5424824756082022,15
1010,R2,5,0.3916666666666666,0.5428084509291283,13
1010,R2,6,0.4166666666666667,0.5426972852015912,10
1010,R3,1,0.1166666666666666,0.5447439226657003,46
1010,R3,2,0.2583333333333333,0.5405868992348847,29
1010,R3,3,0.3,0.5361681441962284,24
1010,R3,4,0.325,0.5339773610393654,21
1010,R3,5,0.3416666666666667,0.5341204782472798,19
1010,R3,6,0.3666666666666666,0.5311119653125739,16
1011,R0,1,0.2,0.5243290466591658,36
1011,R0,2,0.3583333333333333,0.5236434640809725,17
1011,R0,3,0.375,0.5232077634768976,15
1011,R0,4,0.4333333333333333,0.522744947855328,8
1011,R0,5,0.4666666666666667,0.5222614135713611,4
1011,R0,6,0.4833333333333333,0.5217872188778628,2
1011,R1,1,0.1666666666666666,0.5241702618858769,40
1011,R1,2,0.325,0.5235396144725964,21
1011,R1,3,0.3666666666666666,0.5230392031695652,16
1011,R1,4,0.375,0.522565239474249,15
1011,R1,5,0.3916666666666666,0.5220842725655178,13
1011,R1,6,0.4166666666666667,0.5215353104605682,10
1011,R2,1,0.1583333333333333,0.5205995747687038,41
1011,R2,2,0.2666666666666666,0.5201806445100894,28
1011,R2,3,0.3416666666666667,0.5227638945497017,19
1011,R2,4,0.375,0.5210497354153334,15
1011,R2,5,0.3916666666666666,0.5220282810765402,13
1011,R2,6,0.4,0.5225154149593483,12
1011,R3,1,0.1583333333333333,0.523775824036655,41
1011,R3,2,0.2916666666666667,0.5242444806337171,25
1011,R3,3,0.3583333333333333,0.5205404765540912,17
1011,R3,4,0.3916666666666666,0.5210942625882801,13
1011,R3,5,0.4083333333333333,0.5171674729979227,11
1011,R3,6,0.4166666666666667,0.5186982331659394,10
1012,R0,1,0.2083333333333333,0.4860063266869323,35
1012,R0,2,0.4,0.4855007362719468,12
1012,R0,3,0.4583333333333333,0.4850305934607448,5
1012,R0,4,0.4583333333333333,0.4845793888918648,5
1012,R0,5,0.4666666666666667,0.4840623069718781,4
1012,R0,6,0.475,0.4835410347239821,3
1012,R1,1,0.1583333333333333,0.4856983717738835,41
1012,R1,2,0.3,0.484994057694865,24
1012,R1,3,0.3583333333333333,0.4843379280747891,17
1012,R1,4,0.375,0.4838995871479266,15
1012,R1,5,0.4,0.483332774582476,12
1012,R1,6,0.425,0.4828340691538229,9
1012,R2,1,0.1916666666666666,0.4838115140214508,37
1012,R2,2,0.3,0.4802007879625244,24
1012,R2,3,0.3666666666666666,0.4748776278668503,16
1012,R2,4,0.3916666666666666,0.4777347702541517,13
1012,R2,5,0.3916666666666666,0.4756207432701592,13
