seed,scenario,q1_R0,q1_R1,q1_delta,q4_R0,q4_R1,q4_delta,gap_R0,gap_R1,gap_delta
1003,E1_L0_C1,0.3666666666666666,0.2333333333333333,-0.13333333333333328,0.5333333333333333,0.5,-0.033333333333333326,0.1666666666666666,0.2666666666666666,0.1
1003,E1_L1_C0,0.4666666666666667,0.3,-0.16666666666666669,0.4666666666666667,0.4333333333333333,-0.03333333333333338,0.0,0.1333333333333333,0.1333333333333333
1003,E1_L1_C1,0.3666666666666666,0.2333333333333333,-0.13333333333333328,0.5333333333333333,0.5,-0.033333333333333326,0.1666666666666666,0.2666666666666666,0.1
1004,E0_L0_C0,0.7,0.5666666666666667,-0.1333333333333333,0.4666666666666667,0.3666666666666666,-0.10000000000000009,-0.2333333333333332,-0.2,0.03333333333333319
1004,E0_L0_C1,0.4333333333333333,0.5,0.06666666666666671,0.6,0.4333333333333333,-0.16666666666666669,0.1666666666666666,-0.0666666666666666,-0.2333333333333332
1004,E0_L1_C0,0.7,0.5666666666666667,-0.1333333333333333,0.4666666666666667,0.3666666666666666,-0.10000000000000009,-0.2333333333333332,-0.2,0.03333333333333319
1004,E0_L1_C1,0.4333333333333333,0.5,0.06666666666666671,0.6,0.4333333333333333,-0.16666666666666669,0.1666666666666666,-0.0666666666666666,-0.2333333333333332
1004,E1_L0_C0,0.5666666666666667,0.4666666666666667,-0.09999999999999998,0.4666666666666667,0.3666666666666666,-0.10000000000000009,-0.0999999999999999,-0.1,-1.1102230246251565e-16
1004,E1_L0_C1,0.4,0.3666666666666666,-0.03333333333333344,0.6333333333333333,0.4,-0.23333333333333328,0.2333333333333332,0.0333333333333333,-0.1999999999999999
1004,E1_L1_C0,0.5666666666666667,0.4666666666666667,-0.09999999999999998,0.4666666666666667,0.3666666666666666,-0.10000000000000009,-0.0999999999999999,-0.1,-1.1102230246251565e-16
1004,E1_L1_C1,0.4,0.3666666666666666,-0.03333333333333344,0.6333333333333333,0.4,-0.23333333333333328,0.2333333333333332,0.0333333333333333,-0.1999999999999999
