metric,n,mean_diff,ci_low,ci_high,mcse,scenario,evidence_channel,learning_channel,credential_resource_channel
total_gap_reduction,10,0.00026799153703204414,3.590070416761482e-05,0.0005000823698964735,0.00010259713015577641,E0_L1_C1,0,1,1
evidence_opportunity_gap,10,0.11333333333333333,0.02468094199904,0.20198572466762665,0.03918931575232978,E1_L0_C0,1,0,0
resource_q1_placement,10,-0.1,-0.1463467967373369,-0.05365320326266313,0.020487876571761973,E1_L0_C0,1,0,0
resource_q4_placement,10,0.013333333333333326,-0.04080928507248058,0.06747595173914724,0.02393406580948668,E1_L0_C0,1,0,0
placement_rate,10,-0.03916666666666666,-0.05350963815220403,-0.024823695181129292,0.006340395672507406,E1_L0_C0,1,0,0
ground_truth_fit,10,0.026210079553957866,0.016999610367510118,0.035420548740405615,0.004071542569153215,E1_L0_C0,1,0,0
credential_sensitivity,10,-0.013275782826077396,-0.01765909729003009,-0.008892468362124702,0.001937670174308621,E1_L0_C0,1,0,0
total_gap_reduction,10,7.108303700306225e-05,-0.00018661014145159206,0.0003287762154577165,0.00011391479897705134,E1_L0_C0,1,0,0
evidence_opportunity_gap,10,0.08333333333333337,-0.023453785160324453,0.1901204518269912,0.04720587952499556,E1_L0_C1,1,0,1
resource_q1_placement,10,-0.09333333333333335,-0.13940669525515254,-0.047259971411514175,0.02036700308869262,E1_L0_C1,1,0,1
resource_q4_placement,10,-0.009999999999999992,-0.08289173080127547,0.06289173080127548,0.032222222222222215,E1_L0_C1,1,0,1
placement_rate,10,-0.04249999999999999,-0.06506039670378001,-0.019939603296219962,0.009972957261675687,E1_L0_C1,1,0,1
ground_truth_fit,10,0.02908599209958952,0.01462830060329863,0.04354368359588041,0.006391108334138578,E1_L0_C1,1,0,1
credential_sensitivity,10,-0.010943591534010911,-0.016837322896442165,-0.005049860171579656,0.002605358928793845,E1_L0_C1,1,0,1
total_gap_reduction,10,0.0003245309774864035,1.963070369004154e-05,0.0006294312512827655,0.00013478297565285499,E1_L0_C1,1,0,1
evidence_opportunity_gap,10,0.11333333333333333,0.02468094199904,0.20198572466762665,0.03918931575232978,E1_L1_C0,1,1,0
resource_q1_placement,10,-0.1,-0.1463467967373369,-0.05365320326266313,0.020487876571761973,E1_L1_C0,1,1,0
resource_q4_placement,10,0.013333333333333326,-0.04080928507248058,0.06747595173914724,0.02393406580948668,E1_L1_C0,1,1,0
placement_rate,10,-0.03916666666666666,-0.05350963815220403,-0.024823695181129292,0.006340395672507406,E1_L1_C0,1,1,0
ground_truth_fit,10,0.026235448285400576,0.01702602902509997,0.035444867545701184,0.004071078443068427,E1_L1_C0,1,1,0
credential_sensitivity,10,-0.013271623584501315,-0.01765486258380427,-0.00888838458519836,0.0019376368147123123,E1_L1_C0,1,1,0
total_gap_reduction,10,6.51475191604461e-05,-0.00020338362545135633,0.00033367866377224855,0.00011870578624150026,E1_L1_C0,1,1,0
evidence_opportunity_gap,10,0.08333333333333337,-0.023453785160324453,0.1901204518269912,0.04720587952499556,E1_L1_C1,1,1,1
resource_q1_placement,10,-0.09333333333333335,-0.13940669525515254,-0.047259971411514175,0.02036700308869262,E1_L1_C1,1,1,1
resource_q4_placement,10,-0.009999999999999992,-0.08289173080127547,0.06289173080127548,0.032222222222222215,E1_L1_C1,1,1,1
placement_rate,10,-0.04333333333333332,-0.06595490496131536,-0.020711761705351283,0.009999999999999995,E1_L1_C1,1,1,1
