seed,regime,placement_rate,ground_truth_fit,search_rounds,applications_per_hire,fill_rate,vacancy_duration,credential_sensitivity,investment_alignment,mean_step_gap_reduction,total_gap_reduction,evidence_conversion,task_acceptance,realized_gain,evidence_opportunity_gap,condition
1009,R3,0.45,0.6033020056927809,2.314814814814815,6.944444444444445,0.9,3.0,0.1700351703010598,0.3389079229122055,0.0054404840427997045,0.01762784078878073,0.09850746268656717,0.3404710920770878,0.026071820826053183,0.13333333333333336,R3
1009,R3,0.45,0.590459346009643,2.4814814814814814,7.444444444444445,0.9,3.1666666666666665,0.17201111298923658,0.09214285714285714,0.0038364959684904125,0.013152034160577277,0.0626865671641791,0.28361344537815125,0.023633134169709406,0.16666666666666669,R3_random
1010,R3,0.36666666666666664,0.5894746814842667,2.340909090909091,7.0227272727272725,0.7333333333333333,3.6666666666666665,0.1605058771533254,0.36269902912621366,0.005348070095294986,0.01922294635724786,0.07506702412868632,0.32233009708737864,0.023928582998540955,0.13333333333333336,R3
1010,R3,0.4,0.5786399767188274,2.4791666666666665,7.4375,0.8,3.6666666666666665,0.18259544599292205,0.11151093439363818,0.0038361052239951044,0.013329265202945254,0.05093833780160858,0.3101391650099404,0.023865810309187562,0.13333333333333336,R3_random
1011,R3,0.4166666666666667,0.6001661574535737,2.14,6.42,0.8333333333333334,2.8,0.17354595536293066,0.34278825995807133,0.004211593771040073,0.012210006061333108,0.05309734513274336,0.25157232704402516,0.020002594358431484,0.26666666666666666,R3
1011,R3,0.38333333333333336,0.6176216106110833,2.239130434782609,6.717391304347826,0.7666666666666667,3.3333333333333335,0.16730143195688962,0.06822355289421157,0.0031365593486835023,0.011656070629913714,0.035398230088495575,0.22954091816367264,0.01880046606041365,0.2,R3_random
1012,R3,0.44166666666666665,0.6134084552679072,2.056603773584906,6.169811320754717,0.8833333333333333,2.8,0.20291785305067797,0.3337991266375546,0.004639284995516921,0.016156774059766187,0.08615384615384615,0.27074235807860264,0.02155594753898967,0.3333333333333333,R3
1012,R3,0.4583333333333333,0.6182971202992749,2.1818181818181817,6.545454545454546,0.9166666666666666,2.7666666666666666,0.19844497204089784,0.10538461538461538,0.004249101616022527,0.014570128834833568,0.07076923076923076,0.31868131868131866,0.024667700006313444,0.1333333333333333,R3_random
1013,R3,0.45,0.5748292974781527,2.111111111111111,6.333333333333333,0.9,2.6,0.15121984516107043,0.3359649122807018,0.004765143002030671,0.013971288315412703,0.05572755417956656,0.2543859649122807,0.021838832665521543,0.4333333333333333,R3
1013,R3,0.43333333333333335,0.5871713010204211,2.0961538461538463,6.288461538461538,0.8666666666666667,2.8666666666666667,0.14158969094977672,0.1069032258064516,0.00398719188006887,0.01207825489671422,0.06191950464396285,0.3010752688172043,0.022417484215456772,0.4333333333333333,R3_random
1014,R3,0.43333333333333335,0.6268230204084392,2.2115384615384617,6.634615384615385,0.8666666666666667,3.1,0.1765513125870603,0.32460721868365183,0.0041201819724243005,0.014631236888819682,0.054878048780487805,0.23142250530785563,0.01976039719632898,0.1333333333333333,R3
1014,R3,0.44166666666666665,0.6149962550874994,2.2264150943396226,6.679245283018868,0.8833333333333333,2.8666666666666667,0.1731844262811268,0.11171306209850107,0.0034116435962394383,0.011317860240643081,0.039634146341463415,0.25910064239828695,0.02042975712297049,0.16666666666666669,R3_random
1015,R3,0.4666666666666667,0.584251675393266,2.5357142857142856,7.607142857142857,0.9333333333333333,2.8666666666666667,0.16899163389820512,0.35444680851063837,0.0042053657035750844,0.014268950022808523,0.04838709677419355,0.2723404255319149,0.020843058243299326,0.36666666666666664,R3
1015,R3,0.45,0.5924965421880862,2.259259259259259,6.777777777777778,0.9,2.6666666666666665,0.18326664028761203,0.08105603448275862,0.003283115669808978,0.01050915848483645,0.03763440860215054,0.23706896551724138,0.020142235756603875,0.3333333333333333,R3_random
1016,R3,0.4583333333333333,0.5921338596491305,2.272727272727273,6.818181818181818,0.9166666666666666,2.6666666666666665,0.19692883304707146,0.34456521739130436,0.0045156528562790964,0.015083755046122428,0.07084468664850137,0.3065217391304348,0.02216013541107791,0.49999999999999994,R3
1016,R3,0.4583333333333333,0.578022462255922,2.290909090909091,6.872727272727273,0.9166666666666666,2.433333333333333,0.20070291185008354,0.08234273318872018,0.0035391673936369153,0.011925506192937326,0.04904632152588556,0.2841648590021692,0.022341769376216722,0.39999999999999997,R3_random
1017,R3,0.45,0.6461309242201945,2.0185185185185186,6.055555555555555,0.9,2.2666666666666666,0.12422486649015654,0.3056541019955655,0.00408983192895343,0.01158292031357269,0.046583850931677016,0.2261640798226164,0.020019429858560867,0.13333333333333336,R3
1017,R3,0.44166666666666665,0.6508174787888413,1.9811320754716981,5.943396226415095,0.8833333333333333,2.6,0.13208896470048284,0.0994273127753304,0.0032973266459480556,0.01125924357059384,0.043478260869565216,0.24008810572687225,0.02149076735966166,0.033333333333333326,R3_random
1018,R3,0.43333333333333335,0.5975073466050467,2.25,6.75,0.8666666666666667,2.8666666666666667,0.14831952431375017,0.33141649048625793,0.005563131492475253,0.018977068685998466,0.10122699386503067,0.29809725158562367,0.025493653826722792,0.2,R3
