seed,regime,placement_rate,ground_truth_fit,search_rounds,applications_per_hire,fill_rate,vacancy_duration,credential_sensitivity,investment_alignment,mean_step_gap_reduction,total_gap_reduction,evidence_conversion,task_acceptance,realized_gain,evidence_opportunity_gap,scenario
1007,R1,0.4083333333333333,0.6010267724140416,2.3469387755102042,7.040816326530612,0.8166666666666667,3.3333333333333335,0.19307450843988208,0.07317073170731707,0.0008982165552875483,0.003682687876678948,0.0,0.0,0.010809408501418675,0.2,half_discount
1008,R0,0.4666666666666667,0.5607141924332536,2.0714285714285716,6.214285714285714,0.9333333333333333,2.4,0.21325318479033467,0.09234234234234234,0.0010370027705729889,0.003836910251120059,0.0,0.0,0.011166228680548496,-0.033333333333333326,half_discount
1008,R1,0.4083333333333333,0.5934174408166168,2.142857142857143,6.428571428571429,0.8166666666666667,3.2666666666666666,0.21115482524056345,0.08713692946058091,0.0008987553957929201,0.0036100008397682293,0.0,0.0,0.010964310752852546,0.3,half_discount
1009,R0,0.475,0.5679139074990248,1.912280701754386,5.7368421052631575,0.95,2.066666666666667,0.22821341548644494,0.07209302325581396,0.0007628286096233465,0.0027334691844836585,0.0,0.0,0.010099275141911114,0.09999999999999998,half_discount
1009,R1,0.48333333333333334,0.5855357349535381,2.189655172413793,6.568965517241379,0.9666666666666667,2.433333333333333,0.22303629725892293,0.05895691609977324,0.0008225646100453279,0.00302292494191658,0.0,0.0,0.010492137113147943,-0.033333333333333326,half_discount
1010,R0,0.4583333333333333,0.5444010302569097,1.9454545454545455,5.836363636363636,0.9166666666666666,2.2666666666666666,0.23379535429374457,0.07239819004524888,0.0009913420198369382,0.0036514431063993883,0.0,0.0,0.011171374975357437,0.16666666666666669,half_discount
1010,R1,0.39166666666666666,0.5675237675555056,2.3617021276595747,7.085106382978723,0.7833333333333333,3.566666666666667,0.22240833461828557,0.10358565737051793,0.0009752814744504604,0.004079927501451092,0.0,0.0,0.010694366722760144,0.16666666666666669,half_discount
1011,R0,0.48333333333333334,0.5493853831518454,1.9482758620689655,5.844827586206897,0.9666666666666667,1.9666666666666666,0.22737208408193915,0.09836065573770492,0.000895488753563295,0.0031864474814293914,0.0,0.0,0.010089555936959389,0.23333333333333334,half_discount
1011,R1,0.4166666666666667,0.589454710907711,2.18,6.54,0.8333333333333334,3.0,0.214519450262246,0.081419624217119,0.0008510498279398371,0.00339710722985985,0.0,0.0,0.009662694121148398,0.13333333333333336,half_discount
1012,R0,0.48333333333333334,0.5883524691030169,2.0172413793103448,6.051724137931035,0.9666666666666667,2.2,0.24735265588156752,0.09280742459396751,0.0010944545092189124,0.003930915778944594,0.0,0.0,0.010833917029716767,0.2666666666666666,half_discount
1012,R1,0.425,0.600880417148027,2.411764705882353,7.235294117647059,0.85,3.433333333333333,0.26084028626164796,0.06790123456790123,0.0007435055264940786,0.0030111973823010183,0.0,0.0,0.009647044411409428,0.4333333333333333,half_discount
1013,R0,0.4666666666666667,0.5693723816501743,2.017857142857143,6.053571428571429,0.9333333333333333,2.3666666666666667,0.2032512527595452,0.10430839002267574,0.0008661545996364766,0.0031831181536640515,0.0,0.0,0.010165416171460454,0.39999999999999997,half_discount
1013,R1,0.4083333333333333,0.5916387121287557,2.2448979591836733,6.73469387755102,0.8166666666666667,3.0,0.19633981669502362,0.09240246406570841,0.0008620082532974281,0.003498316827965396,0.0,0.0,0.01013518698047761,0.3333333333333333,half_discount
1014,R0,0.4666666666666667,0.581951553127855,1.9285714285714286,5.785714285714286,0.9333333333333333,2.1,0.23109033640287746,0.10091743119266056,0.0007661904871865041,0.0027838254367776316,0.0,0.0,0.009449350020358582,0.16666666666666663,half_discount
1014,R1,0.4083333333333333,0.6076596704337367,1.9591836734693877,5.877551020408164,0.8166666666666667,2.966666666666667,0.23005484567931506,0.06342494714587738,0.0008744346239432066,0.003446729809376139,0.0,0.0,0.009920032427530923,0.3,half_discount
1015,R0,0.49166666666666664,0.5583006110716978,1.8983050847457628,5.694915254237288,0.9833333333333333,1.8333333333333333,0.24245006934173954,0.07875894988066826,0.0008228040994957569,0.002872957647406018,0.0,0.0,0.010287414963221386,0.23333333333333334,half_discount
1015,R1,0.45,0.5745013259799531,2.2222222222222223,6.666666666666667,0.9,2.7666666666666666,0.23422574899127938,0.09523809523809523,0.0008245596089903111,0.003174554494612698,0.0,0.0,0.009840808299253462,0.39999999999999997,half_discount
1016,R0,0.4583333333333333,0.5576607124019478,1.9636363636363636,5.890909090909091,0.9166666666666666,2.4,0.23936895340822453,0.056433408577878104,0.0006447434018307512,0.0023801777250918566,0.0,0.0,0.010888103305649374,0.4333333333333333,half_discount
1016,R1,0.425,0.585824806465822,2.2941176470588234,6.882352941176471,0.85,3.2333333333333334,0.24616107981911964,0.06666666666666667,0.0008250664238483504,0.0033002656953934014,0.0,0.0,0.010512028177729863,0.6333333333333334,half_discount
1017,R0,0.48333333333333334,0.6120148216167449,1.8275862068965518,5.482758620689655,0.9666666666666667,1.7666666666666666,0.1851579140611125,0.07142857142857142,0.0007189063973059393,0.0025161723905707876,0.0,0.0,0.00978985822561269,0.2,half_discount
1017,R1,0.44166666666666665,0.6402969017018615,1.9811320754716981,5.943396226415095,0.8833333333333333,2.7333333333333334,0.17967222757992296,0.10352422907488987,0.0009248557154997306,0.0034990374569739808,0.0,0.0,0.009680132226280001,0.2,half_discount
1018,R0,0.475,0.5512028598373224,2.0350877192982457,6.105263157894737,0.95,2.1666666666666665,0.23564639965034323,0.08009153318077804,0.0010004042365643145,0.0036431387614883786,0.0,0.0,0.011192846594405366,0.3,half_discount
1018,R1,0.4083333333333333,0.5777573056883636,2.2244897959183674,6.673469387755102,0.8166666666666667,3.1666666666666665,0.21806441860991416,0.11728395061728394,0.0009605397079732809,0.0038901858172917876,0.0,0.0,0.011419190859617798,0.26666666666666666,half_discount
1019,R0,0.48333333333333334,0.5886940312135006,2.0,5.982758620689655,0.9666666666666667,1.9333333333333333,0.17697077145381718,0.08372093023255814,0.0009230935883790348,0.0033077520250248747,0.0,0.0,0.010776990019968593,0.1333333333333333,half_discount
1019,R1,0.44166666666666665,0.6094315483535236,2.452830188679245,7.3584905660377355,0.8833333333333333,3.066666666666667,0.17774727672179932,0.0918580375782881,0.0008039478187382363,0.003209091709796794,0.0,0.0,0.00983372254256006,0.3,half_discount
