seed,regime,q1_placement,q4_placement,gap
1017,R1,0.26666666666666666,0.5,0.23333333333333334
1017,R2,0.43333333333333335,0.5666666666666667,0.1333333333333333
1017,R3,0.36666666666666664,0.5,0.13333333333333336
1018,R0,0.4,0.5666666666666667,0.16666666666666663
1018,R1,0.36666666666666664,0.6,0.23333333333333334
1018,R2,0.26666666666666666,0.5333333333333333,0.26666666666666666
1018,R3,0.3333333333333333,0.5333333333333333,0.2
1019,R0,0.4,0.5666666666666667,0.16666666666666663
1019,R1,0.36666666666666664,0.5666666666666667,0.2
1019,R2,0.3333333333333333,0.5333333333333333,0.2
1019,R3,0.36666666666666664,0.5666666666666667,0.2
1020,R0,0.3,0.5666666666666667,0.26666666666666666
1020,R1,0.3333333333333333,0.5666666666666667,0.23333333333333334
1020,R2,0.26666666666666666,0.6,0.3333333333333333
1020,R3,0.2,0.5333333333333333,0.3333333333333333
1021,R0,0.4,0.6333333333333333,0.23333333333333328
1021,R1,0.4,0.5333333333333333,0.1333333333333333
1021,R2,0.3333333333333333,0.5,0.16666666666666669
1021,R3,0.4,0.5,0.09999999999999998
1022,R0,0.4,0.5,0.09999999999999998
1022,R1,0.23333333333333334,0.5333333333333333,0.3
1022,R2,0.23333333333333334,0.5333333333333333,0.3
1022,R3,0.3,0.4666666666666667,0.16666666666666669
1023,R0,0.36666666666666664,0.5666666666666667,0.2
1023,R1,0.2,0.5666666666666667,0.36666666666666664
1023,R2,0.2,0.6,0.39999999999999997
1023,R3,0.2,0.5666666666666667,0.36666666666666664
1024,R0,0.26666666666666666,0.5666666666666667,0.3
1024,R1,0.2,0.6333333333333333,0.4333333333333333
1024,R2,0.2,0.5666666666666667,0.36666666666666664
1024,R3,0.16666666666666666,0.5666666666666667,0.4
1025,R0,0.3333333333333333,0.5333333333333333,0.2
1025,R1,0.23333333333333334,0.6333333333333333,0.39999999999999997
1025,R2,0.3,0.5,0.2
1025,R3,0.26666666666666666,0.5,0.23333333333333334
1026,R0,0.4,0.5,0.09999999999999998
1026,R1,0.4,0.4666666666666667,0.06666666666666665
1026,R2,0.4,0.5,0.09999999999999998
1026,R3,0.3333333333333333,0.4666666666666667,0.13333333333333336
1027,R0,0.3,0.5333333333333333,0.23333333333333334
1027,R1,0.3,0.4666666666666667,0.16666666666666669
1027,R2,0.26666666666666666,0.4666666666666667,0.2
1027,R3,0.3333333333333333,0.5333333333333333,0.2
1028,R0,0.3333333333333333,0.5333333333333333,0.2
1028,R1,0.23333333333333334,0.5,0.26666666666666666
1028,R2,0.2,0.5666666666666667,0.36666666666666664
1028,R3,0.3,0.5666666666666667,0.26666666666666666
1029,R0,0.4666666666666667,0.6,0.1333333333333333
1029,R1,0.4,0.5333333333333333,0.1333333333333333
1029,R2,0.36666666666666664,0.5666666666666667,0.2
1029,R3,0.36666666666666664,0.5666666666666667,0.2
1030,R0,0.3333333333333333,0.5666666666666667,0.23333333333333334
1030,R1,0.26666666666666666,0.43333333333333335,0.16666666666666669
1030,R2,0.36666666666666664,0.5666666666666667,0.2
1030,R3,0.3333333333333333,0.4666666666666667,0.13333333333333336
1031,R0,0.4,0.6333333333333333,0.23333333333333328
1031,R1,0.3,0.6333333333333333,0.3333333333333333
1031,R2,0.26666666666666666,0.6333333333333333,0.36666666666666664
1031,R3,0.23333333333333334,0.6333333333333333,0.39999999999999997
1032,R0,0.3333333333333333,0.6333333333333333,0.3
1032,R1,0.2,0.4666666666666667,0.26666666666666666
1032,R2,0.26666666666666666,0.5666666666666667,0.3
1032,R3,0.26666666666666666,0.5333333333333333,0.26666666666666666
1033,R0,0.36666666666666664,0.7,0.3333333333333333
