scenario,seed,regime,placement_rate,ground_truth_fit,aggregate_fit_per_capacity
lower_proxy_noise,1015,R1,0.4,0.5958487122686041,0.4766789698148833
lower_proxy_noise,1016,R0,0.48333333333333334,0.5632375072582173,0.5444629236829434
lower_proxy_noise,1016,R1,0.43333333333333335,0.5837776711130795,0.5059406482980022
lower_proxy_noise,1017,R0,0.4666666666666667,0.6208811231399876,0.5794890482639884
lower_proxy_noise,1017,R1,0.4166666666666667,0.6581371287663724,0.5484476073053103
lower_proxy_noise,1018,R0,0.4583333333333333,0.5660087581085826,0.5188413615995341
lower_proxy_noise,1018,R1,0.4083333333333333,0.5949291548455151,0.4858588097905041
lower_proxy_noise,1019,R0,0.48333333333333334,0.597069344088945,0.5771670326193135
lower_proxy_noise,1019,R1,0.38333333333333336,0.6396411516267875,0.49039154958053716
higher_proxy_noise,1000,R0,0.48333333333333334,0.6036773674409358,0.583554788526238
higher_proxy_noise,1000,R1,0.4666666666666667,0.6257863914370657,0.5840672986745947
higher_proxy_noise,1001,R0,0.44166666666666665,0.5885377420342107,0.5198750054635528
higher_proxy_noise,1001,R1,0.44166666666666665,0.573481436376846,0.5065752687995472
higher_proxy_noise,1002,R0,0.4666666666666667,0.5353549879734151,0.4996646554418541
higher_proxy_noise,1002,R1,0.4166666666666667,0.6084949491852254,0.5070791243210212
higher_proxy_noise,1003,R0,0.5,0.5364337648998748,0.5364337648998746
higher_proxy_noise,1003,R1,0.44166666666666665,0.5857263841673923,0.5173916393478633
higher_proxy_noise,1004,R0,0.48333333333333334,0.5656617965354954,0.5468064033176457
higher_proxy_noise,1004,R1,0.44166666666666665,0.5832529966813113,0.5152068137351583
higher_proxy_noise,1005,R0,0.49166666666666664,0.5490457654214383,0.5398950026644144
higher_proxy_noise,1005,R1,0.44166666666666665,0.5459564537980887,0.4822615341883116
higher_proxy_noise,1006,R0,0.4666666666666667,0.5388897523913546,0.5029637688985977
higher_proxy_noise,1006,R1,0.4583333333333333,0.5528699624109786,0.5067974655433971
higher_proxy_noise,1007,R0,0.4666666666666667,0.5662738626783901,0.528522271833164
higher_proxy_noise,1007,R1,0.475,0.5392451707042722,0.5122829121690586
higher_proxy_noise,1008,R0,0.4666666666666667,0.5337898198430945,0.4982038318535549
higher_proxy_noise,1008,R1,0.43333333333333335,0.5640937316214458,0.4888812340719198
higher_proxy_noise,1009,R0,0.49166666666666664,0.5478998901692702,0.5387682253331155
higher_proxy_noise,1009,R1,0.4666666666666667,0.5786971801357599,0.5401173681267092
higher_proxy_noise,1010,R0,0.475,0.5078898062114139,0.48249531590084316
higher_proxy_noise,1010,R1,0.4583333333333333,0.5329125124268101,0.48850313639124265
higher_proxy_noise,1011,R0,0.49166666666666664,0.5433330553835203,0.5342775044604616
higher_proxy_noise,1011,R1,0.4583333333333333,0.55239408513941,0.5063612447111259
higher_proxy_noise,1012,R0,0.49166666666666664,0.5760966199519924,0.5664950096194592
higher_proxy_noise,1012,R1,0.44166666666666665,0.5971251273027218,0.5274605291174043
higher_proxy_noise,1013,R0,0.475,0.5437824843170385,0.5165933601011866
higher_proxy_noise,1013,R1,0.44166666666666665,0.57813406742579,0.5106850928927811
higher_proxy_noise,1014,R0,0.4666666666666667,0.5909866587480802,0.5515875481648749
higher_proxy_noise,1014,R1,0.4583333333333333,0.5849257471889867,0.5361819349232377
higher_proxy_noise,1015,R0,0.49166666666666664,0.5562202140175339,0.5469498771172414
higher_proxy_noise,1015,R1,0.4583333333333333,0.5737938904864833,0.5259777329459431
higher_proxy_noise,1016,R0,0.49166666666666664,0.554800657720104,0.5455539800914355
higher_proxy_noise,1016,R1,0.44166666666666665,0.5487390872343987,0.4847195270570522
higher_proxy_noise,1017,R0,0.475,0.6083419642810931,0.5779248660670383
higher_proxy_noise,1017,R1,0.48333333333333334,0.618456872286816,0.5978416432105889
higher_proxy_noise,1018,R0,0.475,0.5210014983575484,0.4949514234396709
higher_proxy_noise,1018,R1,0.4666666666666667,0.5633123386061449,0.5257581826990686
higher_proxy_noise,1019,R0,0.48333333333333334,0.556411659608911,0.537864604288614
higher_proxy_noise,1019,R1,0.45,0.5843688327990626,0.5259319495191562
lower_hiring_threshold,1000,R0,0.475,0.6340229776688083,0.602321828785368
lower_hiring_threshold,1000,R1,0.475,0.6254579020527472,0.5941850069501098
lower_hiring_threshold,1001,R0,0.4666666666666667,0.5691242208245875,0.5311826061029483
lower_hiring_threshold,1001,R1,0.4583333333333333,0.576681260751658,0.5286244890223532
lower_hiring_threshold,1002,R0,0.48333333333333334,0.5623733403295305,0.5436275623185461
lower_hiring_threshold,1002,R1,0.43333333333333335,0.5983935365484182,0.5186077316752958
lower_hiring_threshold,1003,R0,0.48333333333333334,0.5677400977336775,0.5488154278092217
lower_hiring_threshold,1003,R1,0.4666666666666667,0.5954213596584355,0.5557266023478732
lower_hiring_threshold,1004,R0,0.475,0.5667102877502905,0.5383747733627758
lower_hiring_threshold,1004,R1,0.4083333333333333,0.6146098523654601,0.5019313794317924
lower_hiring_threshold,1005,R0,0.5,0.532143945475338,0.5321439454753382
lower_hiring_threshold,1005,R1,0.44166666666666665,0.5713583094430865,0.5046998400080597
lower_hiring_threshold,1006,R0,0.4583333333333333,0.554588769151247,0.508373038388643
lower_hiring_threshold,1006,R1,0.44166666666666665,0.5773335541699149,0.5099779728500915
lower_hiring_threshold,1007,R0,0.475,0.5588587992199913,0.5309158592589918
lower_hiring_threshold,1007,R1,0.4166666666666667,0.5908724966652975,0.49239374722108126
lower_hiring_threshold,1008,R0,0.4583333333333333,0.5668483703944446,0.5196110061949075
lower_hiring_threshold,1008,R1,0.44166666666666665,0.5935600739379836,0.5243113986452189
lower_hiring_threshold,1009,R0,0.49166666666666664,0.5803485676136219,0.5706760914867282
lower_hiring_threshold,1009,R1,0.43333333333333335,0.6001551887711462,0.5201344969349933
lower_hiring_threshold,1010,R0,0.4666666666666667,0.547362991260795,0.5108721251767421
lower_hiring_threshold,1010,R1,0.44166666666666665,0.5529016573187703,0.48839646396491365
lower_hiring_threshold,1011,R0,0.49166666666666664,0.5338886649084142,0.5249905204932739
lower_hiring_threshold,1011,R1,0.45,0.57904746301248,0.5211427167112321
lower_hiring_threshold,1012,R0,0.49166666666666664,0.5815618423929503,0.5718691450197345
lower_hiring_threshold,1012,R1,0.475,0.5999472911319742,0.5699499265753756
lower_hiring_threshold,1013,R0,0.48333333333333334,0.5496913892679034,0.5313683429589733
lower_hiring_threshold,1013,R1,0.45,0.5882440264349655,0.5294196237914691
lower_hiring_threshold,1014,R0,0.5,0.5838044794533016,0.5838044794533015
lower_hiring_threshold,1014,R1,0.44166666666666665,0.600780909654439,0.5306898035280878
lower_hiring_threshold,1015,R0,0.5,0.5569212627316922,0.5569212627316922
lower_hiring_threshold,1015,R1,0.45,0.584178233854941,0.525760410469447
lower_hiring_threshold,1016,R0,0.4583333333333333,0.563221183171908,0.516286084574249
lower_hiring_threshold,1016,R1,0.45,0.5808875926208882,0.5227988333587994
lower_hiring_threshold,1017,R0,0.49166666666666664,0.614032443259956,0.6037985692056235
lower_hiring_threshold,1017,R1,0.4583333333333333,0.639562960464776,0.5862660470927114
